Species,Weight,Length,Diagonal,Height,Width
Bream,242,25.4,30,11.52,4.02
Bream,290,26.3,31.2,12.48,4.3056
Bream,340,26.5,31.1,12.3778,4.6961
Bream,363,29,33.5,12.73,4.4555
Bream,430,29,34,12.444,5.134
Bream,450,29.7,34.7,13.6024,4.9274
Bream,500,29.7,34.5,14.1795,5.2785
Bream,390,30,35,12.67,4.69
Bream,450,30,35.1,14.0049,4.8438
Bream,500,30.7,36.2,14.2266,4.9594
Bream,475,31,36.2,14.2628,5.1042
Bream,500,31,36.2,14.3714,4.8146
Bream,500,31.5,36.4,13.7592,4.368
Bream,340,32,37.3,13.9129,5.0728
Bream,600,32,37.2,14.9544,5.1708
Bream,600,32,37.2,15.438,5.58
Bream,700,33,38.3,14.8604,5.2854
Bream,700,33,38.5,14.938,5.1975
Bream,610,33.5,38.6,15.633,5.1338
Bream,650,33.5,38.7,14.4738,5.7276
Bream,575,34,39.5,15.1285,5.5695
Bream,685,34,39.2,15.9936,5.3704
Bream,620,34.5,39.7,15.5227,5.2801
Bream,680,35,40.6,15.4686,6.1306
Bream,700,35,40.5,16.2405,5.589
Bream,725,35,40.9,16.36,6.0532
Bream,720,35,40.6,16.3618,6.09
Bream,714,36,41.5,16.517,5.8515
Bream,850,36,41.6,16.8896,6.1984
Bream,1000,37,42.6,18.957,6.603
Bream,920,38.5,44.1,18.0369,6.3063
Bream,955,38.5,44,18.084,6.292
Bream,925,39.5,45.3,18.7542,6.7497
Bream,975,41,45.9,18.6354,6.7473
Bream,950,41,46.5,17.6235,6.3705
Roach,40,14.1,16.2,4.1472,2.268
Roach,69,18.2,20.3,5.2983,2.8217
Roach,78,18.8,21.2,5.5756,2.9044
Roach,87,19.8,22.2,5.6166,3.1746
Roach,120,20,22.2,6.216,3.5742
Roach,0,20.5,22.8,6.4752,3.3516
Roach,110,20.8,23.1,6.1677,3.3957
Roach,120,21,23.7,6.1146,3.2943
Roach,150,22,24.7,5.8045,3.7544
Roach,145,22,24.3,6.6339,3.5478
Roach,160,22.5,25.3,7.0334,3.8203
Roach,140,22.5,25,6.55,3.325
Roach,160,22.5,25,6.4,3.8
Roach,169,24,27.2,7.5344,3.8352
Roach,161,23.4,26.7,6.9153,3.6312
Roach,200,23.5,26.8,7.3968,4.1272
Roach,180,25.2,27.9,7.0866,3.906
Roach,290,26,29.2,8.8768,4.4968
Roach,272,27,30.6,8.568,4.7736
Roach,390,31.7,35,9.485,5.355
Whitefish,270,26,28.7,8.3804,4.2476
Whitefish,270,26.5,29.3,8.1454,4.2485
Whitefish,306,28,30.8,8.778,4.6816
Whitefish,540,31,34,10.744,6.562
Whitefish,800,36.4,39.6,11.7612,6.5736
Whitefish,1000,40,43.5,12.354,6.525
Parkki,55,14.7,16.5,6.8475,2.3265
Parkki,60,15.5,17.4,6.5772,2.3142
Parkki,90,17.7,19.8,7.4052,2.673
Parkki,120,19,21.3,8.3922,2.9181
Parkki,150,20,22.4,8.8928,3.2928
Parkki,140,20.7,23.2,8.5376,3.2944
Parkki,170,20.7,23.2,9.396,3.4104
Parkki,145,21.5,24.1,9.7364,3.1571
Parkki,200,23,25.8,10.3458,3.6636
Parkki,273,25,28,11.088,4.144
Parkki,300,26,29,11.368,4.234
Perch,5.9,8.4,8.8,2.112,1.408
Perch,32,13.7,14.7,3.528,1.9992
Perch,40,15,16,3.824,2.432
Perch,51.5,16.2,17.2,4.5924,2.6316
Perch,70,17.4,18.5,4.588,2.9415
Perch,100,18,19.2,5.2224,3.3216
Perch,78,18.7,19.4,5.1992,3.1234
Perch,80,19,20.2,5.6358,3.0502
Perch,85,19.6,20.8,5.1376,3.0368
Perch,85,20,21,5.082,2.772
Perch,110,21,22.5,5.6925,3.555
Perch,115,21,22.5,5.9175,3.3075
Perch,125,21,22.5,5.6925,3.6675
Perch,130,21.3,22.8,6.384,3.534
Perch,120,22,23.5,6.11,3.4075
Perch,120,22,23.5,5.64,3.525
Perch,130,22,23.5,6.11,3.525
Perch,135,22,23.5,5.875,3.525
Perch,110,22,23.5,5.5225,3.995
Perch,130,22.5,24,5.856,3.624
Perch,150,22.5,24,6.792,3.624
Perch,145,22.7,24.2,5.9532,3.63
Perch,150,23,24.5,5.2185,3.626
Perch,170,23.5,25,6.275,3.725
Perch,225,24,25.5,7.293,3.723
Perch,145,24,25.5,6.375,3.825
Perch,188,24.6,26.2,6.7334,4.1658
Perch,180,25,26.5,6.4395,3.6835
Perch,197,25.6,27,6.561,4.239
Perch,218,26.5,28,7.168,4.144
Perch,300,27.3,28.7,8.323,5.1373
Perch,260,27.5,28.9,7.1672,4.335
Perch,265,27.5,28.9,7.0516,4.335
Perch,250,27.5,28.9,7.2828,4.5662
Perch,250,28,29.4,7.8204,4.2042
Perch,300,28.7,30.1,7.5852,4.6354
Perch,320,30,31.6,7.6156,4.7716
Perch,514,32.8,34,10.03,6.018
Perch,556,34.5,36.5,10.2565,6.3875
Perch,840,35,37.3,11.4884,7.7957
Perch,685,36.5,39,10.881,6.864
Perch,700,36,38.3,10.6091,6.7408
