alcohol,sugar,pH,class
9.4,1.9,3.51,0.0
9.8,2.6,3.2,0.0
9.8,2.3,3.26,0.0
9.8,1.9,3.16,0.0
9.4,1.9,3.51,0.0
9.4,1.8,3.51,0.0
9.4,1.6,3.3,0.0
10.0,1.2,3.39,0.0
9.5,2.0,3.36,0.0
10.5,6.1,3.35,0.0
9.2,1.8,3.28,0.0
10.5,6.1,3.35,0.0
9.9,1.6,3.58,0.0
9.1,1.6,3.26,0.0
9.2,3.8,3.16,0.0
9.2,3.9,3.17,0.0
10.5,1.8,3.3,0.0
9.3,1.7,3.11,0.0
9.0,4.4,3.38,0.0
9.2,1.8,3.04,0.0
9.4,1.8,3.39,0.0
9.7,2.3,3.52,0.0
9.5,1.6,3.17,0.0
9.4,2.3,3.17,0.0
9.7,2.4,3.43,0.0
9.3,1.4,3.34,0.0
9.5,1.8,3.28,0.0
9.5,1.6,3.17,0.0
9.4,1.9,3.47,0.0
9.8,2.0,3.38,0.0
10.1,2.4,3.35,0.0
10.6,2.5,3.46,0.0
9.8,2.3,3.17,0.0
9.4,10.7,3.45,0.0
9.2,1.8,3.38,0.0
9.6,5.5,3.4,0.0
10.8,2.4,3.42,0.0
9.7,2.1,3.23,0.0
9.8,1.5,3.5,0.0
10.5,5.9,3.33,0.0
10.5,5.9,3.33,0.0
9.3,2.8,3.26,0.0
10.5,2.6,3.21,0.0
10.3,2.2,3.3,0.0
9.5,1.8,3.48,0.0
13.1,2.1,3.9,0.0
9.2,2.2,3.25,0.0
9.5,1.6,3.25,0.0
9.2,1.6,3.34,0.0
9.2,1.4,3.32,0.0
9.2,1.7,3.15,0.0
9.4,2.2,3.4,0.0
9.4,2.1,3.39,0.0
9.4,3.0,3.2,0.0
10.2,2.8,3.17,0.0
9.5,3.8,3.34,0.0
9.6,3.4,3.04,0.0
9.4,5.1,3.26,0.0
10.0,2.3,3.43,0.0
9.4,2.4,3.41,0.0
9.2,2.2,3.44,0.0
9.3,1.8,3.21,0.0
9.5,1.9,3.38,0.0
9.8,2.0,3.39,0.0
10.9,4.65,3.41,0.0
10.9,4.65,3.41,0.0
9.6,1.5,3.42,0.0
10.7,1.6,3.44,0.0
10.7,2.0,3.28,0.0
10.5,1.9,3.34,0.0
9.5,1.9,3.32,0.0
9.5,2.1,3.32,0.0
9.5,1.9,3.31,0.0
9.2,2.1,3.31,0.0
9.6,2.5,3.28,0.0
10.5,2.2,3.54,0.0
10.5,2.2,3.54,0.0
10.7,2.4,3.52,0.0
10.1,2.0,3.38,0.0
9.1,1.5,3.16,0.0
9.2,1.6,3.41,0.0
9.4,1.9,3.13,0.0
9.1,2.0,3.36,0.0
9.4,1.8,3.16,0.0
10.3,1.8,3.44,0.0
10.1,2.2,3.41,0.0
9.9,1.9,2.93,0.0
9.6,1.9,3.39,0.0
9.5,2.1,3.14,0.0
9.0,1.8,3.48,0.0
9.5,1.9,3.23,0.0
9.9,1.9,2.93,0.0
9.8,2.0,2.93,0.0
9.6,1.9,3.39,0.0
10.5,1.4,3.75,0.0
12.9,2.3,3.85,0.0
10.7,3.0,3.45,0.0
9.2,2.0,3.25,0.0
9.8,2.5,3.39,0.0
9.0,1.9,3.3,0.0
10.2,2.1,3.4,0.0
10.4,1.9,3.31,0.0
9.0,1.9,3.3,0.0
9.2,2.1,3.29,0.0
9.4,2.2,3.33,0.0
9.2,2.1,3.29,0.0
9.3,1.7,3.08,0.0
9.3,1.7,3.46,0.0
9.6,2.5,3.37,0.0
9.3,2.0,3.21,0.0
9.5,1.8,3.19,0.0
9.8,2.2,3.15,0.0
9.8,2.2,3.15,0.0
9.7,2.3,3.32,0.0
9.5,1.8,3.19,0.0
10.5,2.2,3.07,0.0
10.0,1.9,3.39,0.0
9.4,2.0,3.37,0.0
10.9,2.2,3.21,0.0
9.2,1.8,3.34,0.0
9.0,1.7,3.3,0.0
10.9,2.2,3.21,0.0
9.2,2.5,3.49,0.0
9.5,2.6,3.44,0.0
9.5,1.6,3.39,0.0
9.4,1.9,3.16,0.0
10.9,1.7,3.53,0.0
10.9,1.8,3.54,0.0
10.5,1.8,3.42,0.0
9.4,1.8,3.42,0.0
9.4,2.0,3.24,0.0
13.0,2.3,3.63,0.0
13.0,2.3,3.63,0.0
9.8,1.5,3.4,0.0
9.9,2.2,3.22,0.0
9.6,1.9,3.19,0.0
9.5,1.8,3.23,0.0
9.2,2.0,3.48,0.0
9.5,2.1,3.33,0.0
9.5,2.0,3.32,0.0
9.6,1.9,3.19,0.0
9.5,1.8,3.23,0.0
14.0,1.8,3.68,0.0
9.4,1.7,3.34,0.0
14.0,1.8,3.68,0.0
9.4,1.8,3.17,0.0
10.0,1.8,3.54,0.0
9.3,1.6,3.11,0.0
10.2,2.3,3.42,0.0
10.5,2.8,3.53,0.0
10.3,2.1,3.33,0.0
9.4,3.4,2.74,0.0
10.1,1.8,3.35,0.0
10.1,1.8,3.35,0.0
10.5,5.5,3.42,0.0
10.5,5.5,3.42,0.0
10.5,5.5,3.42,0.0
10.5,5.5,3.42,0.0
9.3,2.2,3.48,0.0
9.3,1.9,3.59,0.0
9.6,2.0,3.2,0.0
9.2,1.3,3.17,0.0
10.0,1.7,3.33,0.0
9.4,7.3,3.37,0.0
9.4,7.2,3.37,0.0
9.5,1.7,3.19,0.0
10.2,2.1,3.34,0.0
9.0,1.6,3.37,0.0
10.4,2.1,3.47,0.0
9.5,1.8,3.0,0.0
9.1,1.8,3.36,0.0
9.2,2.0,3.29,0.0
9.2,2.0,3.29,0.0
11.5,1.9,3.42,0.0
9.5,2.0,3.33,0.0
9.5,1.5,3.35,0.0
9.5,2.0,3.33,0.0
10.5,2.3,3.58,0.0
9.6,2.5,3.48,0.0
9.5,2.4,3.19,0.0
9.5,2.4,3.19,0.0
9.3,2.0,3.12,0.0
9.3,2.5,3.44,0.0
9.3,1.8,3.54,0.0
9.3,1.9,3.52,0.0
9.7,2.0,3.26,0.0
9.2,2.0,3.34,0.0
9.7,2.6,3.39,0.0
9.5,2.0,3.2,0.0
9.5,1.9,3.2,0.0
9.4,2.9,3.23,0.0
9.8,1.9,3.57,0.0
9.5,3.8,3.28,0.0
9.7,2.2,3.28,0.0
9.7,2.2,3.28,0.0
9.4,2.0,3.25,0.0
10.2,2.4,3.46,0.0
10.1,2.0,3.11,0.0
13.0,1.2,3.57,0.0
11.4,2.1,3.51,0.0
10.3,1.4,3.22,0.0
9.3,2.1,3.04,0.0
9.5,1.5,3.36,0.0
9.2,1.6,3.34,0.0
9.2,1.6,3.34,0.0
10.8,2.6,3.2,0.0
10.8,2.6,3.2,0.0
9.3,1.8,3.29,0.0
9.4,2.7,3.22,0.0
10.5,2.1,3.31,0.0
12.4,2.0,3.3,0.0
10.0,2.8,3.35,0.0
10.2,2.1,3.21,0.0
10.1,2.2,3.3,0.0
9.8,2.4,3.24,0.0
10.5,5.6,3.34,0.0
11.0,2.0,3.14,0.0
9.1,2.2,3.36,0.0
9.7,1.9,3.39,0.0
9.5,2.4,3.3,0.0
9.4,2.0,3.34,0.0
9.4,2.0,3.15,0.0
9.5,1.5,3.42,0.0
10.0,2.0,3.28,0.0
10.4,2.0,3.31,0.0
10.5,2.6,3.37,0.0
9.5,2.0,3.04,0.0
9.8,2.6,3.39,0.0
10.5,2.6,3.37,0.0
11.0,2.6,3.46,0.0
12.2,1.6,3.54,0.0
9.9,1.8,3.37,0.0
9.6,2.8,3.34,0.0
11.0,2.6,3.46,0.0
9.0,2.3,3.32,0.0
9.0,1.9,3.37,0.0
9.0,1.9,3.37,0.0
9.2,1.9,3.37,0.0
9.0,1.9,3.37,0.0
9.0,2.3,3.32,0.0
9.3,1.7,3.0,0.0
10.9,2.1,3.14,0.0
9.8,1.8,3.08,0.0
9.2,2.2,3.07,0.0
9.2,2.2,3.07,0.0
9.9,2.0,3.61,0.0
9.5,1.9,3.38,0.0
9.3,2.3,3.2,0.0
9.8,1.7,3.35,0.0
9.9,2.0,3.61,0.0
10.0,1.6,3.22,0.0
9.9,1.8,3.47,0.0
10.5,3.1,3.17,0.0
9.5,1.9,3.23,0.0
9.9,1.8,3.47,0.0
9.3,3.2,3.26,0.0
9.2,2.2,3.22,0.0
9.2,2.1,3.49,0.0
9.4,1.8,3.06,0.0
10.5,2.6,3.36,0.0
9.3,1.7,3.29,0.0
9.4,2.0,3.35,0.0
10.0,1.7,3.34,0.0
9.3,1.8,3.28,0.0
10.9,2.4,3.08,0.0
10.2,1.8,3.2,0.0
9.8,3.3,3.6,0.0
12.8,3.6,3.35,0.0
9.4,3.0,3.69,0.0
10.1,4.0,3.28,0.0
10.7,4.0,3.36,0.0
10.1,4.0,3.28,0.0
10.1,4.0,3.22,0.0
9.4,2.4,3.31,0.0
9.4,7.0,3.38,0.0
10.7,4.0,3.36,0.0
9.4,3.0,3.69,0.0
10.1,4.0,3.28,0.0
12.6,6.4,3.23,0.0
10.5,5.6,3.38,0.0
9.3,3.6,3.12,0.0
9.9,3.5,3.25,0.0
9.1,3.0,3.36,0.0
10.5,5.6,3.38,0.0
9.8,3.4,3.31,0.0
9.8,3.4,3.31,0.0
10.3,2.0,3.1,0.0
10.3,3.0,3.37,0.0
10.6,2.5,3.34,0.0
9.2,3.3,3.2,0.0
10.6,2.5,3.34,0.0
10.5,2.0,3.3,0.0
10.3,2.7,3.22,0.0
10.1,2.4,3.41,0.0
9.5,3.2,3.05,0.0
9.5,2.5,3.05,0.0
9.9,2.6,3.16,0.0
9.6,2.0,3.67,0.0
9.7,2.3,3.67,0.0
9.6,2.1,3.68,0.0
10.7,2.6,3.38,0.0
10.1,1.5,3.22,0.0
10.0,2.6,3.51,0.0
9.5,1.6,3.39,0.0
9.2,2.1,3.2,0.0
9.3,2.5,3.12,0.0
9.4,2.2,3.36,0.0
9.5,2.4,3.19,0.0
9.5,2.4,3.19,0.0
9.5,1.7,3.41,0.0
9.3,2.5,3.12,0.0
9.4,2.0,3.27,0.0
9.5,2.8,3.32,0.0
9.4,3.0,3.3,0.0
11.0,2.6,3.39,0.0
11.0,2.5,3.42,0.0
10.1,3.4,3.3,0.0
10.4,2.9,3.3,0.0
11.5,3.2,3.37,0.0
10.4,2.9,3.3,0.0
11.5,3.2,3.37,0.0
9.7,3.4,3.24,0.0
9.3,2.3,3.29,0.0
9.5,2.8,3.28,0.0
9.2,11.0,3.16,0.0
9.2,11.0,3.16,0.0
11.5,3.65,3.05,0.0
11.5,4.5,3.28,0.0
9.7,2.6,3.16,0.0
9.5,2.0,3.18,0.0
12.5,2.9,3.23,0.0
12.5,2.9,3.23,0.0
9.4,3.2,3.22,0.0
11.0,2.1,3.13,0.0
11.7,2.5,3.34,0.0
12.2,3.4,3.17,0.0
12.5,1.9,3.35,0.0
10.3,2.8,3.31,0.0
11.5,3.0,3.16,0.0
9.8,2.3,3.11,0.0
9.2,2.4,3.12,0.0
11.3,2.7,3.21,0.0
9.8,1.8,3.3,0.0
9.8,1.8,3.3,0.0
10.7,2.6,3.12,0.0
9.9,1.9,3.6,0.0
12.3,2.7,3.58,0.0
12.0,3.0,3.02,0.0
10.0,2.8,3.11,0.0
9.4,2.6,3.36,0.0
